subject,name
"Demora, grosseria ou falta de atendimento","Controle Interno"
"Cumprimento de Normas e Regulamentos","Controle Interno"
Atendimento,"Controle Interno"
"Fiscalização de Contratos e Convênios","Controle Interno"
"Estrutura, limpeza e materiais da unidade","Controle Interno"
"Informação e Orientação pública","Controle Interno"
"Atendimento em situações de calamidade pública","Defesa Civil"
"Sinalização de áreas de risco","Defesa Civil"
"Prevenção de acidentes e campanhas educativas","Defesa Civil"
"Deslizamentos de encostas","Defesa Civil"
"Emergências de desabamentos","Defesa Civil"
"Vistorias técnicas estruturais","Defesa Civil"
"Monitoramento e alerta de riscos naturais (chuvas, tempestades, etc.)","Defesa Civil"
Atendimento,"Defesa Civil"
"Poda e remoção de árvore","Defesa Civil"
"Abrigos emergenciais para desabrigados/desalojados","Defesa Civil"
"Apoio a famílias em situação de risco","Defesa Civil"
"Inscrição e matrícula em cursos",FUNDEC
"Falta de pagamento",FUNDEC
Atendimento,FUNDEC
"Levantamento de depósito",FUNDEC
,FUNDEC
Funcionário,FUNDEC
"Processo de inscrição (transparência, documentação exigida, prazos)",FUNDEC
"Atendimento e orientação ao público (aguardas, canais de contato)",FUNDEC
"Implantação de unidade da FUNDEC",FUNDEC
"Acesso digital (plataforma online, sistemas de inscrição e acompanhamento)",FUNDEC
"Limpeza urbana e retirada de entulho","Ouvidoria Geral"
"Marcação de consulta","Ouvidoria Geral"
"Marcação de Exame","Ouvidoria Geral"
"Bueiros, rios, valões e redes de esgotos","Ouvidoria Geral"
Atendimento,"Ouvidoria Geral"
"Fiscalização de bares e casas noturnas","Ouvidoria Geral"
"Demora, grosseria ou falta de atendimento","Ouvidoria Geral"
"Capina e roçada urbana","Ouvidoria Geral"
"Asfaltamento e pavimentação","Ouvidoria Geral"
"Propriedade abandonada (terreno, casa, galpão e prédio)","Ouvidoria Geral"
Funcionário,"Ouvidoria Geral"
"Equipe médica","Ouvidoria Geral"
"Acessibilidade em transporte","Ouvidoria Geral"
"Estrutura, limpeza e materiais da unidade","Ouvidoria Geral"
,"Ouvidoria Geral"
"Infraestrutura urbana","Ouvidoria Geral"
"Direitos e acesso a programas sociais","Ouvidoria Geral"
"Benefício de Prestação Continuada (BPC/LOAS)","Ouvidoria Geral"
"Conservação de calçadas e passeios públicos","Ouvidoria Geral"
"Tempo de espera em fila SISREG","Ouvidoria Geral"
"Publicação de decretos e portarias","Ouvidoria Geral"
"Manutenção de praças e parques","Ouvidoria Geral"
"Poluição Ambiental (Ar, Solo, Água e Som)","Ouvidoria Geral"
"Falta de medicamentos e insumos (remédios e fraldas)","Ouvidoria Geral"
"Divulgação de programas, serviços e eventos públicos","Ouvidoria Geral"
"Reparação de Danos","Ouvidoria Geral"
"Falta de médicos especialistas","Ouvidoria Geral"
"Transporte escolar","Ouvidoria Geral"
Vacinação,"Ouvidoria Geral"
"Tempo de espera para exames","Ouvidoria Geral"
"Implementação de braço de luz","Ouvidoria Geral"
"Instalação de pontos de ônibus","Ouvidoria Geral"
"Gestão escolar","Ouvidoria Geral"
"Obstrução de via pública (fixas)","Ouvidoria Geral"
"Falta de professores","Ouvidoria Geral"
"Poda e remoção de árvore","Ouvidoria Geral"
"Fomento ao empreendedorismo","Ouvidoria Geral"
"Drenagem e combate a alagamentos","Ouvidoria Geral"
"Ordenamento público em ruas e eventos","Ouvidoria Geral"
"Substituição de tampas e grelhas de esgoto","Ouvidoria Geral"
"Uso irregular de espaço público","Ouvidoria Geral"
"Conduta irregular de funcionário","Ouvidoria Geral"
"Publicidade e propaganda institucional","Ouvidoria Geral"
"Averbação de alterações (construções, ampliações, mudança de uso)","Ouvidoria Geral"
"Informação e orientação pública","Ouvidoria Geral"
"Revitalização de áreas degradadas","Ouvidoria Geral"
"sinalização de trânsito","Ouvidoria Geral"
"Troca de lâmpadas","Ouvidoria Geral"
"Construção irregular","Ouvidoria Geral"
Assédio,"Ouvidoria Geral"
"Comunicação oficial e campanhas públicas","Ouvidoria Geral"
"Coleta seletiva e reciclagem","Ouvidoria Geral"
"Marcação de cirurgia","Ouvidoria Geral"
"Falta de exames na unidade","Ouvidoria Geral"
"Cadastro Único (CadÚnico)","Ouvidoria Geral"
"Direitos e programas sociais","Ouvidoria Geral"
"Manutenção de abrigos de ônibus","Ouvidoria Geral"
"Demora no resultado de exames","Ouvidoria Geral"
"Placa de proibição de lixo","Ouvidoria Geral"
"Matrícula escolar","Ouvidoria Geral"
"Eu, cidadão(ã), estou preenchendo por conta própria","Ouvidoria Geral"
"Falta de mediadores","Ouvidoria Geral"
"Nota Fiscal de Serviços","Ouvidoria Geral"
"Transporte de servidores","Ouvidoria Geral"
"Levantamento de depósito","Ouvidoria Geral"
"Fiscalização de estabelecimentos comerciais e industriais","Ouvidoria Geral"
"Fornecimento de próteses e órteses","Ouvidoria Geral"
Outro,"Ouvidoria Geral"
"Vacinação e controle de animais domésticos","Ouvidoria Geral"
"Conservação de prédios e equipamentos públicos","Ouvidoria Geral"
